event_id,cow,start,end,duration_bins,duration_hours,profile,expected_detected,design_reason,steps_change_target,motion_change_target,transitions_change_target,posture_shift_target,schedule_rotation,realized_position_ratio,source_steps_sum,source_motion_sum,source_transitions_sum,realized_steps_change,realized_motion_change,realized_transitions_change,informative_source_window,detected_any_overlap,novel_start_count,episode_overlap,detected_iou20,best_iou,episode_overlap_raw,detected_iou20_raw,best_iou_raw,attributable_interval_count,onset_delay_hours,score_max,legacy_detected_any_overlap,legacy_novel_start_count,legacy_episode_overlap,legacy_detected_iou20,legacy_best_iou,legacy_episode_overlap_raw,legacy_detected_iou20_raw,legacy_best_iou_raw,legacy_attributable_interval_count,legacy_onset_delay_hours,legacy_score_max,scenario,seed,heldout_start,event_after_heldout,protocol_role,if_score_min,if_anom_k_max,warning_score_max,cow_background_notifs,legacy_cow_background_notifs,cow_false_notifs,legacy_cow_false_notifs,cow_monitoring_days,cow_total_span_days,cow_days,sensitivity_run_hash,sensitivity_module_version,sensitivity_configuration,sensitivity_parameter,sensitivity_tested_value
2056_gradual_mild_s11_1555,2056,2023-11-01 14:45:00,2023-11-03 02:30:00,144,36.0,gradual_mild,1,"Niveau de sensibilite conservateur, inferieur a l'effet publie.",-0.12,-0.1,-0.12,0.03,0,0.6341761827079935,300.0,2080.0,23.0,-0.10891186936156294,-0.08881074610328055,-0.08182133845033113,True,1,3,1,1,0.2012987012987013,1,1,0.2012987012987013,63,15.5,0.4450213526622437,1,1,1,0,0.041666666666666664,1,0,0.041666666666666664,6,3.0,9.0,gradual_mild,11,2023-10-31 18:45:00,True,primary,-0.14887656460950693,9.0,0.4450213526622437,4,0,4,0,10.177083333333334,25.447916666666668,10.177083333333334,7369add268ca111462d6099154e6f712befcbf62aab94e8b55a979d8a34faf23,1,cooldown_hours__12p0,cooldown_hours,12.0
2056_gradual_moderate_s11_1775,2056,2023-11-03 21:45:00,2023-11-05 21:30:00,192,48.0,gradual_moderate,1,Pas ancres sur Paudyal et al. 2021; autres signaux = hypotheses coherentes.,-0.29,-0.25,-0.25,0.07,0,0.7238988580750407,130.0,1176.0,38.0,-0.21600699482415409,-0.1923584240434124,-0.19079259724742648,True,1,1,1,0,0.15104166666666666,1,1,0.6650485436893204,36,13.75,0.6818309617198212,0,0,0,0,0.0,0,0,0.0,0,,3.0,gradual_moderate,11,2023-10-31 18:45:00,True,primary,-0.12733246059133874,3.0,0.6818309617198212,4,0,4,0,10.177083333333334,25.447916666666668,10.177083333333334,7369add268ca111462d6099154e6f712befcbf62aab94e8b55a979d8a34faf23,1,cooldown_hours__12p0,cooldown_hours,12.0
2056_gradual_marked_s11_2043,2056,2023-11-06 16:45:00,2023-11-09 04:30:00,240,60.0,gradual_marked,1,"Scenario marque de sensibilite, non calibre cliniquement.",-0.42,-0.38,-0.4,0.12,0,0.8331973898858075,691.0,4350.0,42.0,-0.3933038241212693,-0.3472760656829531,-0.2959885295415894,True,1,1,1,1,0.475,1,1,0.475,114,16.0,0.4923229074832419,0,0,0,0,0.0,0,0,0.0,0,,8.0,gradual_marked,11,2023-10-31 18:45:00,True,primary,-0.133042554746591,8.0,0.4923229074832419,4,0,4,0,10.177083333333334,25.447916666666668,10.177083333333334,7369add268ca111462d6099154e6f712befcbf62aab94e8b55a979d8a34faf23,1,cooldown_hours__12p0,cooldown_hours,12.0
2056_isolated_short_variation_s11_2359,2056,2023-11-09 23:45:00,2023-11-10 02:30:00,12,3.0,isolated_short_variation,0,"Controle negatif: variation isolee et breve, sans coherence multivariee.",0.15,0.0,0.0,0.0,0,0.9620717781402937,2.0,41.0,3.0,0.09444444444444455,0.0,0.0,True,0,0,0,0,0.0,0,0,0.0,0,,0.178699467842877,0,0,0,0,0.0,0,0,0.0,0,,3.0,isolated_short_variation,11,2023-10-31 18:45:00,True,primary,-0.03488547809928133,3.0,0.178699467842877,4,0,4,0,10.177083333333334,25.447916666666668,10.177083333333334,7369add268ca111462d6099154e6f712befcbf62aab94e8b55a979d8a34faf23,1,cooldown_hours__12p0,cooldown_hours,12.0
7443_gradual_mild_s11_2225,7443,2023-11-08 14:45:00,2023-11-10 02:30:00,144,36.0,gradual_mild,1,"Niveau de sensibilite conservateur, inferieur a l'effet publie.",-0.12,-0.1,-0.12,0.03,1,0.9081632653061225,428.0,3107.0,23.0,-0.08108374368105375,-0.07056373143446348,-0.09228252728999053,True,1,1,1,0,0.1038961038961039,1,0,0.1038961038961039,26,32.0,0.2971703364742573,0,0,0,0,0.0,0,0,0.0,0,,7.0,gradual_mild,11,2023-10-31 18:45:00,True,primary,-0.16261656776106925,7.0,0.2971703364742573,4,3,4,3,10.177083333333334,25.447916666666668,10.177083333333334,7369add268ca111462d6099154e6f712befcbf62aab94e8b55a979d8a34faf23,1,cooldown_hours__12p0,cooldown_hours,12.0
7443_gradual_moderate_s11_1553,7443,2023-11-01 14:45:00,2023-11-03 14:30:00,192,48.0,gradual_moderate,1,Pas ancres sur Paudyal et al. 2021; autres signaux = hypotheses coherentes.,-0.29,-0.25,-0.25,0.07,1,0.6338775510204082,984.0,5819.0,26.0,-0.2078725670597057,-0.17906707783380926,-0.16870299442191827,True,1,1,1,0,0.19270833333333334,1,1,0.3072916666666667,55,15.5,0.3904142481381192,0,0,0,0,0.0,1,0,0.005208333333333333,0,,7.0,gradual_moderate,11,2023-10-31 18:45:00,True,primary,-0.17056639700683263,7.0,0.3904142481381192,4,3,4,3,10.177083333333334,25.447916666666668,10.177083333333334,7369add268ca111462d6099154e6f712befcbf62aab94e8b55a979d8a34faf23,1,cooldown_hours__12p0,cooldown_hours,12.0
7443_gradual_marked_s11_1821,7443,2023-11-04 09:45:00,2023-11-06 21:30:00,240,60.0,gradual_marked,1,"Scenario marque de sensibilite, non calibre cliniquement.",-0.42,-0.38,-0.4,0.12,1,0.743265306122449,432.0,3564.0,44.0,-0.3447571621662613,-0.30011318322039393,-0.2905019915196969,True,0,0,1,0,0.0625,1,1,0.6323024054982818,27,,0.612581865844952,0,0,0,0,0.0,0,0,0.0,0,,5.0,gradual_marked,11,2023-10-31 18:45:00,True,primary,-0.1306464467427163,5.0,0.612581865844952,4,3,4,3,10.177083333333334,25.447916666666668,10.177083333333334,7369add268ca111462d6099154e6f712befcbf62aab94e8b55a979d8a34faf23,1,cooldown_hours__12p0,cooldown_hours,12.0
7443_isolated_short_variation_s11_2137,7443,2023-11-07 16:45:00,2023-11-07 19:30:00,12,3.0,isolated_short_variation,0,"Controle negatif: variation isolee et breve, sans coherence multivariee.",0.15,0.0,0.0,0.0,1,0.8722448979591837,6.0,78.0,2.0,0.14351851851851838,0.0,0.0,True,0,0,0,0,0.0,1,1,0.32432432432432434,0,,0.24844725440655518,0,0,0,0,0.0,0,0,0.0,0,,6.0,isolated_short_variation,11,2023-10-31 18:45:00,True,primary,-0.026970528723408216,6.0,0.24844725440655518,4,3,4,3,10.177083333333334,25.447916666666668,10.177083333333334,7369add268ca111462d6099154e6f712befcbf62aab94e8b55a979d8a34faf23,1,cooldown_hours__12p0,cooldown_hours,12.0
8061_gradual_mild_s11_1957,8061,2023-11-05 19:45:00,2023-11-07 07:30:00,144,36.0,gradual_mild,1,"Niveau de sensibilite conservateur, inferieur a l'effet publie.",-0.12,-0.1,-0.12,0.03,2,0.7987755102040817,578.0,3712.0,31.0,-0.10891758031090526,-0.09283199536089759,-0.09017175718392756,True,1,1,1,0,0.020833333333333332,1,0,0.08974358974358974,3,9.75,0.26170583388492563,0,0,0,0,0.0,0,0,0.0,0,,4.0,gradual_mild,11,2023-10-31 18:45:00,True,primary,-0.161279239141355,4.0,0.26170583388492563,3,0,3,0,10.177083333333334,25.447916666666668,10.177083333333334,7369add268ca111462d6099154e6f712befcbf62aab94e8b55a979d8a34faf23,1,cooldown_hours__12p0,cooldown_hours,12.0
8061_gradual_moderate_s11_2177,8061,2023-11-08 02:45:00,2023-11-10 02:30:00,192,48.0,gradual_moderate,1,Pas ancres sur Paudyal et al. 2021; autres signaux = hypotheses coherentes.,-0.29,-0.25,-0.25,0.07,2,0.8885714285714286,856.0,5653.0,51.0,-0.251732208556261,-0.21725900317218272,-0.17858460843661128,True,1,2,1,1,0.22395833333333334,1,1,0.22395833333333334,73,13.0,0.41580515527073003,0,0,0,0,0.0,0,0,0.0,0,,4.0,gradual_moderate,11,2023-10-31 18:45:00,True,primary,-0.17849213759800742,4.0,0.41580515527073003,3,0,3,0,10.177083333333334,25.447916666666668,10.177083333333334,7369add268ca111462d6099154e6f712befcbf62aab94e8b55a979d8a34faf23,1,cooldown_hours__12p0,cooldown_hours,12.0
8061_gradual_marked_s11_1553,8061,2023-11-01 14:45:00,2023-11-04 02:30:00,240,60.0,gradual_marked,1,"Scenario marque de sensibilite, non calibre cliniquement.",-0.42,-0.38,-0.4,0.12,2,0.6338775510204082,902.0,5507.0,56.0,-0.38040803995026384,-0.3450553674666581,-0.3041005869770811,True,1,1,1,1,0.275,1,1,0.275,66,22.5,0.5247758827025748,0,0,0,0,0.0,0,0,0.0,0,,4.0,gradual_marked,11,2023-10-31 18:45:00,True,primary,-0.13975476272646814,4.0,0.5247758827025748,3,0,3,0,10.177083333333334,25.447916666666668,10.177083333333334,7369add268ca111462d6099154e6f712befcbf62aab94e8b55a979d8a34faf23,1,cooldown_hours__12p0,cooldown_hours,12.0
8061_isolated_short_variation_s11_1869,8061,2023-11-04 21:45:00,2023-11-05 00:30:00,12,3.0,isolated_short_variation,0,"Controle negatif: variation isolee et breve, sans coherence multivariee.",0.15,0.0,0.0,0.0,2,0.7628571428571429,30.0,117.0,3.0,0.10777777777777775,0.0,0.0,True,0,0,0,0,0.0,1,0,0.18461538461538463,0,,0.5385152644499257,0,0,0,0,0.0,0,0,0.0,0,,1.0,isolated_short_variation,11,2023-10-31 18:45:00,True,primary,0.001450659395543008,1.0,0.5385152644499257,3,0,3,0,10.177083333333334,25.447916666666668,10.177083333333334,7369add268ca111462d6099154e6f712befcbf62aab94e8b55a979d8a34faf23,1,cooldown_hours__12p0,cooldown_hours,12.0
8081_gradual_mild_s11_1640,8081,2023-11-02 12:45:00,2023-11-04 00:30:00,144,36.0,gradual_mild,1,"Niveau de sensibilite conservateur, inferieur a l'effet publie.",-0.12,-0.1,-0.12,0.03,3,0.6696610861576153,865.0,5523.0,32.0,-0.07324872807678318,-0.06112280122693314,-0.09854399527407787,True,0,0,0,0,0.0,0,0,0.0,0,,0.18290913799722316,0,0,0,0,0.0,0,0,0.0,0,,8.0,gradual_mild,11,2023-10-31 18:45:00,True,primary,-0.18793290013886588,8.0,0.18290913799722316,2,2,2,2,10.177083333333334,25.447916666666668,10.177083333333334,7369add268ca111462d6099154e6f712befcbf62aab94e8b55a979d8a34faf23,1,cooldown_hours__12p0,cooldown_hours,12.0
8081_gradual_moderate_s11_1860,8081,2023-11-04 19:45:00,2023-11-06 19:30:00,192,48.0,gradual_moderate,1,Pas ancres sur Paudyal et al. 2021; autres signaux = hypotheses coherentes.,-0.29,-0.25,-0.25,0.07,3,0.759493670886076,594.0,4328.0,35.0,-0.2278893995887502,-0.1972310270588855,-0.18112522034531442,True,0,0,1,0,0.13541666666666666,1,1,0.6834862385321101,26,,0.6359922237314068,0,0,0,0,0.0,0,0,0.0,0,,6.0,gradual_moderate,11,2023-10-31 18:45:00,True,primary,-0.19446623250367912,6.0,0.6359922237314068,2,2,2,2,10.177083333333334,25.447916666666668,10.177083333333334,7369add268ca111462d6099154e6f712befcbf62aab94e8b55a979d8a34faf23,1,cooldown_hours__12p0,cooldown_hours,12.0
8081_gradual_marked_s11_2128,8081,2023-11-07 14:45:00,2023-11-10 02:30:00,240,60.0,gradual_marked,1,"Scenario marque de sensibilite, non calibre cliniquement.",-0.42,-0.38,-0.4,0.12,3,0.8689260922825643,1143.0,7555.0,43.0,-0.33300301006118915,-0.3046895064217231,-0.2973694353167142,True,1,1,1,1,0.43333333333333335,1,1,0.43333333333333335,104,24.25,0.5376997628341138,1,1,1,0,0.029166666666666667,1,0,0.029166666666666667,7,3.75,10.0,gradual_marked,11,2023-10-31 18:45:00,True,primary,-0.1813651474261836,10.0,0.5376997628341138,2,2,2,2,10.177083333333334,25.447916666666668,10.177083333333334,7369add268ca111462d6099154e6f712befcbf62aab94e8b55a979d8a34faf23,1,cooldown_hours__12p0,cooldown_hours,12.0
8081_isolated_short_variation_s11_1552,8081,2023-11-01 14:45:00,2023-11-01 17:30:00,12,3.0,isolated_short_variation,0,"Controle negatif: variation isolee et breve, sans coherence multivariee.",0.15,0.0,0.0,0.0,3,0.6337280522662311,20.0,69.0,3.0,0.11055555555555552,0.0,0.0,True,0,0,0,0,0.0,0,0,0.0,0,,0.06000000000000001,0,0,0,0,0.0,0,0,0.0,0,,8.0,isolated_short_variation,11,2023-10-31 18:45:00,True,primary,-0.06635114183161106,8.0,0.06000000000000001,2,2,2,2,10.177083333333334,25.447916666666668,10.177083333333334,7369add268ca111462d6099154e6f712befcbf62aab94e8b55a979d8a34faf23,1,cooldown_hours__12p0,cooldown_hours,12.0
8086_gradual_mild_s11_1552,8086,2023-11-01 14:45:00,2023-11-03 02:30:00,144,36.0,gradual_mild,1,"Niveau de sensibilite conservateur, inferieur a l'effet publie.",-0.12,-0.1,-0.12,0.03,0,0.6337280522662311,814.0,4804.0,37.0,-0.09216135819098858,-0.07850157926290657,-0.09144811446947454,True,1,1,1,1,0.2013888888888889,1,1,0.3541666666666667,31,24.0,0.41910970138941067,0,0,0,0,0.0,1,0,0.013888888888888888,0,,8.0,gradual_mild,11,2023-10-31 18:45:00,True,primary,-0.2118876253910731,8.0,0.41910970138941067,5,5,5,5,10.177083333333334,25.447916666666668,10.177083333333334,7369add268ca111462d6099154e6f712befcbf62aab94e8b55a979d8a34faf23,1,cooldown_hours__12p0,cooldown_hours,12.0
8086_gradual_moderate_s11_1772,8086,2023-11-03 21:45:00,2023-11-05 21:30:00,192,48.0,gradual_moderate,1,Pas ancres sur Paudyal et al. 2021; autres signaux = hypotheses coherentes.,-0.29,-0.25,-0.25,0.07,0,0.7235606369946918,360.0,2440.0,39.0,-0.2325572415459709,-0.1971599035394931,-0.19905595290708022,True,1,1,1,0,0.09895833333333333,1,1,0.6414141414141414,32,37.0,0.6942131474490256,0,0,0,0,0.0,0,0,0.0,0,,5.0,gradual_moderate,11,2023-10-31 18:45:00,True,primary,-0.043584882855718265,5.0,0.6942131474490256,5,5,5,5,10.177083333333334,25.447916666666668,10.177083333333334,7369add268ca111462d6099154e6f712befcbf62aab94e8b55a979d8a34faf23,1,cooldown_hours__12p0,cooldown_hours,12.0
8086_gradual_marked_s11_2040,8086,2023-11-06 16:45:00,2023-11-09 04:30:00,240,60.0,gradual_marked,1,"Scenario marque de sensibilite, non calibre cliniquement.",-0.42,-0.38,-0.4,0.12,0,0.8329930583911801,1040.0,6825.0,60.0,-0.37247407363488383,-0.3335434292469147,-0.29023296388931874,True,1,1,1,0,0.1125,1,1,0.4875,47,20.75,0.48942276874718205,0,0,0,0,0.0,1,0,0.020833333333333332,0,,7.0,gradual_marked,11,2023-10-31 18:45:00,True,primary,-0.15404379065811724,7.0,0.48942276874718205,5,5,5,5,10.177083333333334,25.447916666666668,10.177083333333334,7369add268ca111462d6099154e6f712befcbf62aab94e8b55a979d8a34faf23,1,cooldown_hours__12p0,cooldown_hours,12.0
8086_isolated_short_variation_s11_2356,8086,2023-11-09 23:45:00,2023-11-10 02:30:00,12,3.0,isolated_short_variation,0,"Controle negatif: variation isolee et breve, sans coherence multivariee.",0.15,0.0,0.0,0.0,0,0.9620253164556962,25.0,167.0,2.0,0.14533333333333331,0.0,0.0,True,0,0,0,0,0.0,0,0,0.0,0,,0.2213425348111869,0,0,0,0,0.0,0,0,0.0,0,,1.0,isolated_short_variation,11,2023-10-31 18:45:00,True,primary,-0.0522771493053934,1.0,0.2213425348111869,5,5,5,5,10.177083333333334,25.447916666666668,10.177083333333334,7369add268ca111462d6099154e6f712befcbf62aab94e8b55a979d8a34faf23,1,cooldown_hours__12p0,cooldown_hours,12.0
8147_gradual_mild_s11_2248,8147,2023-11-08 20:30:00,2023-11-10 08:15:00,144,36.0,gradual_mild,1,"Niveau de sensibilite conservateur, inferieur a l'effet publie.",-0.12,-0.1,-0.12,0.03,1,0.9086499595796281,973.0,4243.0,34.0,-0.10194792063423253,-0.08628101442900848,-0.0963398803919735,True,1,1,1,1,0.3125,1,1,0.3125,45,20.5,0.2415847169892601,0,0,0,0,0.0,0,0,0.0,0,,6.0,gradual_mild,11,2023-10-31 22:30:00,True,primary,-0.15728364194501376,6.0,0.2415847169892601,6,1,6,1,10.270833333333334,25.697916666666668,10.270833333333334,7369add268ca111462d6099154e6f712befcbf62aab94e8b55a979d8a34faf23,1,cooldown_hours__12p0,cooldown_hours,12.0
