configuration,event_id,cow,scenario,target_branch,start,end,duration_hours,expected_hypo,expected_instability,expected_hybrid,design_reason,heldout_start,event_after_heldout,informative_source_window,hypo_detected_any_overlap,hypo_novel_start_count,hypo_episode_overlap,hypo_detected_iou20,hypo_best_iou,hypo_episode_overlap_raw,hypo_detected_iou20_raw,hypo_best_iou_raw,hypo_attributable_interval_count,hypo_onset_delay_hours,hypo_score_max,hypo_background_notifs,instability_detected_any_overlap,instability_novel_start_count,instability_episode_overlap,instability_detected_iou20,instability_best_iou,instability_episode_overlap_raw,instability_detected_iou20_raw,instability_best_iou_raw,instability_attributable_interval_count,instability_onset_delay_hours,instability_score_max,instability_background_notifs,hybrid_detected_any_overlap,hybrid_novel_start_count,hybrid_episode_overlap,hybrid_detected_iou20,hybrid_best_iou,hybrid_episode_overlap_raw,hybrid_detected_iou20_raw,hybrid_best_iou_raw,hybrid_attributable_interval_count,hybrid_onset_delay_hours,hybrid_score_max,hybrid_background_notifs,monitoring_days
strict_cooldown_24h,2056_hypo_mild_1503,2056,hypo_mild,HYPO,2023-11-01 01:45:00,2023-11-02 01:30:00,24.0,1,0,1,Dégradation graduelle conservatrice sous l'effet publié sur les pas.,2023-10-31 18:45:00,True,True,0,0,1,0,0.010416666666666666,1,1,0.2708333333333333,2,,0.4575241085445167,4,0,0,0,0,0.0,0,0,0.0,0,,0.590421363469718,4,0,0,1,0,0.010416666666666666,1,1,0.2708333333333333,2,,0.590421363469718,7,10.177083333333334
strict_cooldown_24h,2056_hypo_moderate_1623,2056,hypo_moderate,HYPO,2023-11-02 07:45:00,2023-11-03 19:30:00,36.0,1,0,1,Pas ancrés sur Paudyal et al.; autres signaux = hypothèses techniques.,2023-10-31 18:45:00,True,True,1,1,1,1,0.4097222222222222,1,1,0.4097222222222222,59,9.25,0.40378205769099934,4,0,0,0,0,0.0,1,0,0.034722222222222224,37,,1.0,4,1,1,1,1,0.3541666666666667,1,1,0.4097222222222222,88,9.25,1.0,7,10.177083333333334
strict_cooldown_24h,2056_hypo_marked_1791,2056,hypo_marked,HYPO,2023-11-04 01:45:00,2023-11-06 01:30:00,48.0,1,0,1,"Scénario marqué de sensibilité, non calibré cliniquement.",2023-10-31 18:45:00,True,True,1,1,1,0,0.15104166666666666,1,1,0.7704081632653061,34,10.25,0.7051128881677172,4,0,0,0,0,0.0,0,0,0.0,67,,0.8177601783498818,4,1,1,1,0,0.15104166666666666,1,1,0.6188524590163934,96,10.25,0.8177601783498818,7,10.177083333333334
strict_cooldown_24h,2056_instability_mild_2007,2056,instability_mild,INSTABILITE,2023-11-06 07:45:00,2023-11-06 15:30:00,8.0,0,1,1,Hausse multivariée modeste et répétée; hypothèse exploratoire.,2023-10-31 18:45:00,True,True,0,0,0,0,0.0,0,0,0.0,0,,0.16026375301770038,4,0,0,0,0,0.0,0,0,0.0,0,,1.0,4,0,0,0,0,0.0,0,0,0.0,0,,1.0,7,10.177083333333334
strict_cooldown_24h,2056_instability_moderate_2063,2056,instability_moderate,INSTABILITE,2023-11-06 21:45:00,2023-11-07 09:30:00,12.0,0,1,1,"Instabilité multivariée persistante, sans pic extrême.",2023-10-31 18:45:00,True,True,0,0,0,0,0.0,0,0,0.0,0,,0.06938541656119493,4,0,0,0,0,0.0,0,0,0.0,0,,0.46574312357549463,4,0,0,0,0,0.0,0,0,0.0,0,,0.46574312357549463,7,10.177083333333334
strict_cooldown_24h,2056_instability_marked_2135,2056,instability_marked,INSTABILITE,2023-11-07 15:45:00,2023-11-08 07:30:00,16.0,0,1,1,"Scénario technique marqué, inférieur aux multiplicateurs de l'ancien protocole.",2023-10-31 18:45:00,True,True,0,0,0,0,0.0,0,0,0.0,58,,0.09447605048182908,4,1,2,1,0,0.11267605633802817,1,0,0.11267605633802817,20,12.25,1.0,4,1,2,1,0,0.11267605633802817,1,0,0.11267605633802817,78,12.25,1.0,7,10.177083333333334
strict_cooldown_24h,2056_isolated_sensor_spike_2223,2056,isolated_sensor_spike,CONTROLE,2023-11-08 13:45:00,2023-11-08 13:45:00,0.25,0,0,0,Contrôle négatif: un seul pic de Motion Index doit être rejeté.,2023-10-31 18:45:00,True,False,0,0,0,0,0.0,0,0,0.0,17,,0.0206896551724138,4,0,0,0,0,0.0,0,0,0.0,0,,0.30946963097759483,4,0,0,0,0,0.0,0,0,0.0,17,,0.30946963097759483,7,10.177083333333334
strict_cooldown_24h,2056_short_exercise_2248,2056,short_exercise,CONTROLE,2023-11-08 20:00:00,2023-11-08 21:45:00,2.0,0,0,0,Contrôle négatif: hausse cohérente mais trop brève pour un épisode persistant.,2023-10-31 18:45:00,True,True,0,0,0,0,0.0,0,0,0.0,0,,0.15497656412920635,4,0,0,0,0,0.0,0,0,0.0,0,,0.0993673396315892,4,0,0,0,0,0.0,0,0,0.0,0,,0.15497656412920635,7,10.177083333333334
strict_cooldown_24h,2056_estrus_like_activity_2280,2056,estrus_like_activity,CONFONDANT,2023-11-09 04:00:00,2023-11-09 09:45:00,6.0,0,0,0,"Contrôle adversarial: activité de type œstrus, indiscernable sans contexte externe.",2023-10-31 18:45:00,True,True,0,0,0,0,0.0,0,0,0.0,15,,0.17626346984798702,4,0,0,0,0,0.0,0,0,0.0,0,,0.5249999999999999,4,0,0,0,0,0.0,0,0,0.0,15,,0.5249999999999999,7,10.177083333333334
strict_cooldown_24h,2056_nonlocomotor_hypoactivity_2328,2056,nonlocomotor_hypoactivity,CONFONDANT,2023-11-09 16:00:00,2023-11-10 15:45:00,24.0,0,0,0,"Contrôle adversarial: hypoactivité non locomotrice, causalité indiscernable par capteur seul.",2023-10-31 18:45:00,True,True,1,1,1,0,0.03125,1,0,0.16666666666666666,27,23.5,0.2389822490999643,4,0,0,0,0,0.0,0,0,0.0,0,,0.4875,4,1,1,1,0,0.03125,1,0,0.16666666666666666,25,23.5,0.4875,7,10.177083333333334
strict_cooldown_24h,7443_hypo_mild_2326,7443,hypo_mild,HYPO,2023-11-09 16:00:00,2023-11-10 15:45:00,24.0,1,0,1,Dégradation graduelle conservatrice sous l'effet publié sur les pas.,2023-10-31 18:45:00,True,True,0,0,0,0,0.0,0,0,0.0,0,,0.3988437427780935,4,0,0,0,0,0.0,0,0,0.0,0,,0.7068030048297289,5,0,0,0,0,0.0,0,0,0.0,0,,0.7068030048297289,7,10.177083333333334
strict_cooldown_24h,7443_hypo_moderate_1501,7443,hypo_moderate,HYPO,2023-11-01 01:45:00,2023-11-02 13:30:00,36.0,1,0,1,Pas ancrés sur Paudyal et al.; autres signaux = hypothèses techniques.,2023-10-31 18:45:00,True,True,1,2,1,1,0.2569444444444444,1,1,0.3310810810810811,65,17.5,0.47143841642228734,4,1,1,1,0,0.0064516129032258064,1,0,0.09722222222222222,20,35.75,0.82901847696793,5,1,3,1,1,0.2569444444444444,1,1,0.3161290322580645,80,17.5,0.82901847696793,7,10.177083333333334
strict_cooldown_24h,7443_hypo_marked_1669,7443,hypo_marked,HYPO,2023-11-02 19:45:00,2023-11-04 19:30:00,48.0,1,0,1,"Scénario marqué de sensibilité, non calibré cliniquement.",2023-10-31 18:45:00,True,True,1,1,1,0,0.08854166666666667,1,1,0.4675324675324675,17,21.0,0.7865734335508201,4,0,0,0,0,0.0,0,0,0.0,4,,0.9327288339899954,5,1,1,1,0,0.08854166666666667,1,1,0.453781512605042,17,21.0,0.9327288339899954,7,10.177083333333334
strict_cooldown_24h,7443_instability_mild_1885,7443,instability_mild,INSTABILITE,2023-11-05 01:45:00,2023-11-05 09:30:00,8.0,0,1,1,Hausse multivariée modeste et répétée; hypothèse exploratoire.,2023-10-31 18:45:00,True,True,0,0,0,0,0.0,1,0,0.11564625850340136,0,,0.4519709708375362,4,0,0,0,0,0.0,1,1,0.34375,0,,1.0,5,0,0,0,0,0.0,1,0,0.14965986394557823,0,,1.0,7,10.177083333333334
strict_cooldown_24h,7443_instability_moderate_1941,7443,instability_moderate,INSTABILITE,2023-11-05 15:45:00,2023-11-06 03:30:00,12.0,0,1,1,"Instabilité multivariée persistante, sans pic extrême.",2023-10-31 18:45:00,True,True,1,1,0,0,0.0,1,1,0.38666666666666666,5,10.25,0.4119896539756612,4,0,0,0,0,0.0,0,0,0.0,0,,0.45110228432860555,5,1,1,0,0,0.0,1,1,0.38666666666666666,5,10.25,0.45110228432860555,7,10.177083333333334
strict_cooldown_24h,7443_instability_marked_2013,7443,instability_marked,INSTABILITE,2023-11-06 09:45:00,2023-11-07 01:30:00,16.0,0,1,1,"Scénario technique marqué, inférieur aux multiplicateurs de l'ancien protocole.",2023-10-31 18:45:00,True,True,0,0,0,0,0.0,0,0,0.0,2,,0.1202569174644039,4,0,0,1,1,0.203125,1,1,0.390625,13,,1.0,5,0,0,1,1,0.203125,1,1,0.390625,15,,1.0,7,10.177083333333334
strict_cooldown_24h,7443_isolated_sensor_spike_2101,7443,isolated_sensor_spike,CONTROLE,2023-11-07 07:45:00,2023-11-07 07:45:00,0.25,0,0,0,Contrôle négatif: un seul pic de Motion Index doit être rejeté.,2023-10-31 18:45:00,True,False,0,0,0,0,0.0,0,0,0.0,0,,0.06666666666666668,4,0,0,0,0,0.0,0,0,0.0,0,,0.03324263004356416,5,0,0,0,0,0.0,0,0,0.0,0,,0.06666666666666668,7,10.177083333333334
strict_cooldown_24h,7443_short_exercise_2126,7443,short_exercise,CONTROLE,2023-11-07 14:00:00,2023-11-07 15:45:00,2.0,0,0,0,Contrôle négatif: hausse cohérente mais trop brève pour un épisode persistant.,2023-10-31 18:45:00,True,False,0,0,0,0,0.0,1,1,0.27586206896551724,0,,0.20778809960037917,4,0,0,0,0,0.0,0,0,0.0,0,,0.457538074995697,5,0,0,0,0,0.0,1,1,0.27586206896551724,0,,0.457538074995697,7,10.177083333333334
strict_cooldown_24h,7443_estrus_like_activity_2158,7443,estrus_like_activity,CONFONDANT,2023-11-07 22:00:00,2023-11-08 03:45:00,6.0,0,0,0,"Contrôle adversarial: activité de type œstrus, indiscernable sans contexte externe.",2023-10-31 18:45:00,True,True,0,0,0,0,0.0,1,1,0.3076923076923077,13,,0.30025855383352806,4,0,0,0,0,0.0,0,0,0.0,10,,0.6098116355766463,5,0,0,0,0,0.0,1,1,0.3076923076923077,11,,0.6098116355766463,7,10.177083333333334
strict_cooldown_24h,7443_nonlocomotor_hypoactivity_2206,7443,nonlocomotor_hypoactivity,CONFONDANT,2023-11-08 10:00:00,2023-11-09 09:45:00,24.0,0,0,0,"Contrôle adversarial: hypoactivité non locomotrice, causalité indiscernable par capteur seul.",2023-10-31 18:45:00,True,True,1,1,1,1,0.7207207207207207,1,1,0.7207207207207207,95,4.0,0.4270506689702704,4,0,0,0,0,0.0,0,0,0.0,0,,1.0,5,1,1,1,1,0.8163265306122449,1,1,0.7207207207207207,84,4.0,1.0,7,10.177083333333334
strict_cooldown_24h,8061_hypo_mild_2158,8061,hypo_mild,HYPO,2023-11-07 22:00:00,2023-11-08 21:45:00,24.0,1,0,1,Dégradation graduelle conservatrice sous l'effet publié sur les pas.,2023-10-31 18:45:00,True,True,1,2,1,0,0.19444444444444445,1,0,0.19444444444444445,41,16.5,0.416473271993342,3,0,0,0,0,0.0,1,0,0.10416666666666667,0,,0.7539,3,1,2,1,0,0.19444444444444445,1,0,0.19444444444444445,41,16.5,0.7539,5,10.177083333333334
strict_cooldown_24h,8061_hypo_moderate_2278,8061,hypo_moderate,HYPO,2023-11-09 04:00:00,2023-11-10 15:45:00,36.0,1,0,1,Pas ancrés sur Paudyal et al.; autres signaux = hypothèses techniques.,2023-10-31 18:45:00,True,True,1,1,1,1,0.7361111111111112,1,1,0.7361111111111112,106,8.5,0.34745370566395023,3,0,0,0,0,0.0,0,0,0.0,0,,1.0,3,1,1,1,1,0.7361111111111112,1,1,0.7361111111111112,106,8.5,1.0,5,10.177083333333334
strict_cooldown_24h,8061_hypo_marked_1501,8061,hypo_marked,HYPO,2023-11-01 01:45:00,2023-11-03 01:30:00,48.0,1,0,1,"Scénario marqué de sensibilité, non calibré cliniquement.",2023-10-31 18:45:00,True,True,1,1,1,1,0.453125,1,1,0.453125,88,16.5,0.6323247256587515,3,0,0,0,0,0.0,0,0,0.0,35,,0.568411354839384,3,1,1,1,1,0.453125,1,1,0.453125,123,16.5,0.6323247256587515,5,10.177083333333334
strict_cooldown_24h,8061_instability_mild_1717,8061,instability_mild,INSTABILITE,2023-11-03 07:45:00,2023-11-03 15:30:00,8.0,0,1,1,Hausse multivariée modeste et répétée; hypothèse exploratoire.,2023-10-31 18:45:00,True,True,0,0,0,0,0.0,0,0,0.0,1,,0.03796992481203008,3,0,0,1,0,0.03125,1,1,0.5,1,,1.0,3,0,0,1,0,0.03125,1,1,0.5,2,,1.0,5,10.177083333333334
strict_cooldown_24h,8061_instability_moderate_1773,8061,instability_moderate,INSTABILITE,2023-11-03 21:45:00,2023-11-04 09:30:00,12.0,0,1,1,"Instabilité multivariée persistante, sans pic extrême.",2023-10-31 18:45:00,True,True,0,0,0,0,0.0,1,1,0.2708333333333333,8,,0.2672594558519441,3,0,0,1,0,0.0625,1,1,0.2708333333333333,5,,0.9819264071268078,3,0,0,1,0,0.041666666666666664,1,1,0.2708333333333333,11,,0.9819264071268078,5,10.177083333333334
strict_cooldown_24h,8061_instability_marked_1845,8061,instability_marked,INSTABILITE,2023-11-04 15:45:00,2023-11-05 07:30:00,16.0,0,1,1,"Scénario technique marqué, inférieur aux multiplicateurs de l'ancien protocole.",2023-10-31 18:45:00,True,True,0,0,0,0,0.0,1,1,0.72,60,,0.6534920192698271,3,1,1,1,1,0.40625,1,1,0.40625,26,6.5,1.0,3,1,1,0,0,0.0,1,1,0.72,60,6.5,1.0,5,10.177083333333334
strict_cooldown_24h,8061_isolated_sensor_spike_1933,8061,isolated_sensor_spike,CONTROLE,2023-11-05 13:45:00,2023-11-05 13:45:00,0.25,0,0,0,Contrôle négatif: un seul pic de Motion Index doit être rejeté.,2023-10-31 18:45:00,True,True,0,0,0,0,0.0,0,0,0.0,0,,0.11676300578034682,3,0,0,0,0,0.0,0,0,0.0,0,,0.13913043478260867,3,0,0,0,0,0.0,0,0,0.0,0,,0.13913043478260867,5,10.177083333333334
strict_cooldown_24h,8061_short_exercise_1958,8061,short_exercise,CONTROLE,2023-11-05 20:00:00,2023-11-05 21:45:00,2.0,0,0,0,Contrôle négatif: hausse cohérente mais trop brève pour un épisode persistant.,2023-10-31 18:45:00,True,True,0,0,0,0,0.0,1,1,0.3076923076923077,0,,0.1378396335957172,3,0,0,0,0,0.0,0,0,0.0,0,,0.06903451785143101,3,0,0,0,0,0.0,1,1,0.3076923076923077,0,,0.1378396335957172,5,10.177083333333334
strict_cooldown_24h,8061_estrus_like_activity_1990,8061,estrus_like_activity,CONFONDANT,2023-11-06 04:00:00,2023-11-06 09:45:00,6.0,0,0,0,"Contrôle adversarial: activité de type œstrus, indiscernable sans contexte externe.",2023-10-31 18:45:00,True,True,0,0,0,0,0.0,0,0,0.0,20,,0.14866437549639996,3,0,0,0,0,0.0,0,0,0.0,0,,0.6254975232615648,3,0,0,0,0,0.0,0,0,0.0,20,,0.6254975232615648,5,10.177083333333334
strict_cooldown_24h,8061_nonlocomotor_hypoactivity_2038,8061,nonlocomotor_hypoactivity,CONFONDANT,2023-11-06 16:00:00,2023-11-07 15:45:00,24.0,0,0,0,"Contrôle adversarial: hypoactivité non locomotrice, causalité indiscernable par capteur seul.",2023-10-31 18:45:00,True,True,1,2,1,1,0.25,1,1,0.25,63,15.0,0.35431043683824553,3,0,0,0,0,0.0,0,0,0.0,28,,1.0,3,1,2,1,1,0.25,1,1,0.25,89,15.0,1.0,5,10.177083333333334
strict_cooldown_24h,8081_hypo_mild_1941,8081,hypo_mild,HYPO,2023-11-05 16:00:00,2023-11-06 15:45:00,24.0,1,0,1,Dégradation graduelle conservatrice sous l'effet publié sur les pas.,2023-10-31 18:45:00,True,True,0,0,1,0,0.052083333333333336,1,1,0.2315270935960591,5,,0.4889314928498167,2,0,0,0,0,0.0,0,0,0.0,2,,1.0,2,0,0,1,0,0.052083333333333336,1,1,0.2315270935960591,7,,1.0,4,10.177083333333334
strict_cooldown_24h,8081_hypo_moderate_2061,8081,hypo_moderate,HYPO,2023-11-06 22:00:00,2023-11-08 09:45:00,36.0,1,0,1,Pas ancrés sur Paudyal et al.; autres signaux = hypothèses techniques.,2023-10-31 18:45:00,True,True,1,1,1,1,0.5833333333333334,1,1,0.5833333333333334,84,11.5,0.3375391997319289,2,1,1,0,0,0.0,1,0,0.027777777777777776,1,31.75,0.7203079769072016,2,1,2,1,1,0.5138888888888888,1,1,0.5902777777777778,75,11.5,0.7203079769072016,4,10.177083333333334
strict_cooldown_24h,8081_hypo_marked_2229,8081,hypo_marked,HYPO,2023-11-08 16:00:00,2023-11-10 15:45:00,48.0,1,0,1,"Scénario marqué de sensibilité, non calibré cliniquement.",2023-10-31 18:45:00,True,True,1,1,1,1,0.5729166666666666,1,1,0.5729166666666666,110,15.75,0.4209616345862118,2,0,0,0,0,0.0,0,0,0.0,15,,1.0,2,1,1,1,1,0.5729166666666666,1,1,0.5729166666666666,125,15.75,1.0,4,10.177083333333334
strict_cooldown_24h,8081_instability_mild_1500,8081,instability_mild,INSTABILITE,2023-11-01 01:45:00,2023-11-01 09:30:00,8.0,0,1,1,Hausse multivariée modeste et répétée; hypothèse exploratoire.,2023-10-31 18:45:00,True,True,0,0,0,0,0.0,1,1,0.44,0,,0.4679044606576449,2,0,0,0,0,0.0,0,0,0.0,0,,0.6133436521017843,2,0,0,0,0,0.0,1,1,0.44,0,,0.6133436521017843,4,10.177083333333334
strict_cooldown_24h,8081_instability_moderate_1556,8081,instability_moderate,INSTABILITE,2023-11-01 15:45:00,2023-11-02 03:30:00,12.0,0,1,1,"Instabilité multivariée persistante, sans pic extrême.",2023-10-31 18:45:00,True,True,0,0,0,0,0.0,0,0,0.0,0,,0.19374364090925333,2,1,1,1,1,0.2916666666666667,1,1,0.2916666666666667,14,8.0,0.9627127991447293,2,1,1,1,1,0.2916666666666667,1,1,0.2916666666666667,14,8.0,0.9627127991447293,4,10.177083333333334
